Designator,Mid X,Mid Y,Rotation,Layer
C1,85.275,-86.6,180,Top
C2,44.85,-105.78,0,Top
C3,117.8,-83.4,90,Top
C4,44.95,-108.2,180,Top
C5,115.075,-89,0,Top
C6,76.875,-87.6,0,Top
C7,111.075,-89,0,Top
C8,105.025,-106.45,90,Top
C9,84.025,-102.2,-90,Top
C10,84.025,-99.05,-90,Top
C11,84.025,-105.8,90,Top
C12,81.525,-105.8,-90,Top
C13,80.475,-103,0,Top
C14,76.525,-103,0,Top
D1,121.0875,-83.5,0,Top
D2,115.025,-92.0625,-90,Top
D3,111.025,-92.0625,90,Top
D4,53.7225,-82.6875,90,Top
D5,49.1075,-82.6875,90,Top
D6,58.3375,-82.6875,90,Top
D7,113.525,-101.5,0,Top
D8,82.825,-108.8,180,Top
D9,96.325,-85.9375,90,Top
F1,127.6625,-106.5,0,Top
F2,121.025,-106.5,180,Top
J1,122.425,-99.2825,90,Top
Q1,112.0875,-106.5,0,Top
Q2,108.0875,-106.5,0,Top
R1,60.8,-82.6875,-90,Top
R2,56.6,-107.3125,90,Top
R3,59,-107.2875,-90,Top
R4,44.6,-82.7125,90,Top
R5,46.8,-82.7125,90,Top
R6,51.415,-82.6875,90,Top
R7,56.03,-82.6875,-90,Top
R9,107.9375,-101.5,180,Top
R10,70.5125,-90.4,0,Top
R11,70.5125,-93.35,0,Top
R12,70.5125,-96.3,0,Top
R13,70.5125,-99.25,0,Top
R14,85.2375,-84.2,180,Top
R15,73.6,-87.4,-90,Top
R16,77.0125,-93.8,0,Top
R17,85.4375,-94.2,180,Top
R18,100.125,-86.2875,-90,Top
R19,94.0375,-82.6,180,Top
R20,81.325,-95.0875,-90,Top
R21,90.725,-92.3125,90,Top
R22,99.0125,-82.8,0,Top
R23,103.6125,-82.8,0,Top
R24,103.6125,-85.75,0,Top
R25,103.6125,-89.8,0,Top
SW1,67,-85.5,0,Top
SW2,67,-104.5,0,Top
U2,49.7,-94.86,90,Top
U3,95.675,-103.96,0,Top
U4,85.3875,-90.55,0,Top
U5,76.8875,-90.55,0,Top
U6,76.525,-107,180,Top
