"Value","Reference","Footprint","LCSC","QUANTITY"
"100n","C1,C3-C7,C10,C12,C14","Capacitor_SMD:C_0805_2012Metric","C28233","9"
"1u","C2,C8","Capacitor_SMD:C_0805_2012Metric","C28323","2"
"10u","C9,C11,C13","Capacitor_SMD:C_0805_2012Metric","C15850","3"
"GRN","D4","LED_SMD:LED_0805_2012Metric","C2297","1"
"RED","D5","LED_SMD:LED_0805_2012Metric","C84256","1"
"YLW","D6","LED_SMD:LED_0805_2012Metric","C2296","1"
"D_TVS","D7","Diode_SMD:D_SMA","C309871","1"
"5.2V","D8","Diode_SMD:D_SOD-123","C78479","1"
"BAV99","D1-D3,D9","Package_TO_SOT_SMD:SOT-23","C2500","4"
"Polyfuse","F1,F2","Fuse:Fuse_1812_4532Metric","C12604","2"
"8P8C","J1","OnionStraws:RJ45_EVERCOM_5301-8P8C_Horizontal","C3097717","1"
"Si2309CDS","Q1,Q2","Package_TO_SOT_SMD:SOT-23","C10493","2"
"1M","R9","Resistor_SMD:R_0805_2012Metric","C17514","1"
"4K7","R22","Resistor_SMD:R_0805_2012Metric","C17673","1"
"10K","R1-R3,R5,R14-R17,R19,R20","Resistor_SMD:R_0805_2012Metric","C17414","10"
"1K","R10-R13,R23-R25","Resistor_SMD:R_0805_2012Metric","C17513","7"
"220k","R18,R21","Resistor_SMD:R_0805_2012Metric","C104108","2"
"220","R4,R6,R7","Resistor_SMD:R_0805_2012Metric","C17557","3"
"SW_Push","SW1,SW2","Button_Switch_SMD:SW_Push_1P1T_XKB_TS-1187A","C318884","2"
"ESP32-C3-WROOM-02","U2","RF_Module:ESP32-C3-WROOM-02","C2934560","1"
"L7805","U3","Package_TO_SOT_SMD:TO-263-2","C86206","1"
"74LVC2G07","U4","Package_TO_SOT_SMD:SOT-23-6","C151607","1"
"74LVC2G07_3v3","U5","Package_TO_SOT_SMD:SOT-23-6","C151607","1"
"AP2205-3.3","U6","Package_TO_SOT_SMD:SOT-89-3","C5205181","1"
