Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0805_2012Metric,85.275000,-86.600000,180.000000,top
C2,1u,C_0805_2012Metric,44.850000,-105.780000,0.000000,top
C3,100n,C_0805_2012Metric,117.800000,-83.400000,90.000000,top
C4,100n,C_0805_2012Metric,44.950000,-108.200000,180.000000,top
C5,100n,C_0805_2012Metric,115.075000,-89.000000,0.000000,top
C6,100n,C_0805_2012Metric,76.875000,-87.600000,0.000000,top
C7,100n,C_0805_2012Metric,111.075000,-89.000000,0.000000,top
C8,1u,C_0805_2012Metric,105.025000,-106.450000,90.000000,top
C9,10u,C_0805_2012Metric,84.025000,-102.200000,-90.000000,top
C10,100n,C_0805_2012Metric,84.025000,-99.050000,-90.000000,top
C11,10u,C_0805_2012Metric,84.025000,-105.800000,90.000000,top
C12,100n,C_0805_2012Metric,81.525000,-105.800000,-90.000000,top
C13,10u,C_0805_2012Metric,80.475000,-103.000000,0.000000,top
C14,100n,C_0805_2012Metric,76.525000,-103.000000,0.000000,top
D1,BAV99,SOT-23,121.087500,-83.500000,0.000000,top
D2,BAV99,SOT-23,115.025000,-92.062500,-90.000000,top
D3,BAV99,SOT-23,111.025000,-92.062500,90.000000,top
D4,GRN,LED_0805_2012Metric,53.722500,-82.687500,90.000000,top
D5,RED,LED_0805_2012Metric,49.107500,-82.687500,90.000000,top
D6,YLW,LED_0805_2012Metric,58.337500,-82.687500,90.000000,top
D7,D_TVS,D_SMA,113.525000,-101.500000,0.000000,top
D8,5.2V,D_SOD-123,82.825000,-108.800000,180.000000,top
D9,BAV99,SOT-23,96.325000,-85.937500,90.000000,top
F1,Polyfuse,Fuse_1812_4532Metric,127.662500,-106.500000,0.000000,top
F2,Polyfuse,Fuse_1812_4532Metric,121.025000,-106.500000,180.000000,top
J1,8P8C,RJ45_EVERCOM_5301-8P8C_Horizontal,122.425000,-99.282500,90.000000,top
Q1,Si2309CDS,SOT-23,112.087500,-106.500000,0.000000,top
Q2,Si2309CDS,SOT-23,108.087500,-106.500000,0.000000,top
R1,10K,R_0805_2012Metric,60.800000,-82.687500,-90.000000,top
R2,10K,R_0805_2012Metric,56.600000,-107.312500,90.000000,top
R3,10K,R_0805_2012Metric,59.000000,-107.287500,-90.000000,top
R4,220,R_0805_2012Metric,44.600000,-82.712500,90.000000,top
R5,10K,R_0805_2012Metric,46.800000,-82.712500,90.000000,top
R6,220,R_0805_2012Metric,51.415000,-82.687500,90.000000,top
R7,220,R_0805_2012Metric,56.030000,-82.687500,-90.000000,top
R9,1M,R_0805_2012Metric,107.937500,-101.500000,180.000000,top
R10,1K,R_0805_2012Metric,70.512500,-90.400000,0.000000,top
R11,1K,R_0805_2012Metric,70.512500,-93.350000,0.000000,top
R12,1K,R_0805_2012Metric,70.512500,-96.300000,0.000000,top
R13,1K,R_0805_2012Metric,70.512500,-99.250000,0.000000,top
R14,10K,R_0805_2012Metric,85.237500,-84.200000,180.000000,top
R15,10K,R_0805_2012Metric,73.600000,-87.400000,-90.000000,top
R16,10K,R_0805_2012Metric,77.012500,-93.800000,0.000000,top
R17,10K,R_0805_2012Metric,85.437500,-94.200000,180.000000,top
R18,220k,R_0805_2012Metric,100.125000,-86.287500,-90.000000,top
R19,10K,R_0805_2012Metric,94.037500,-82.600000,180.000000,top
R20,10K,R_0805_2012Metric,81.325000,-95.087500,-90.000000,top
R21,220k,R_0805_2012Metric,90.725000,-92.312500,90.000000,top
R22,4K7,R_0805_2012Metric,99.012500,-82.800000,0.000000,top
R23,1K,R_0805_2012Metric,103.612500,-82.800000,0.000000,top
R24,1K,R_0805_2012Metric,103.612500,-85.750000,0.000000,top
R25,1K,R_0805_2012Metric,103.612500,-89.800000,0.000000,top
SW1,SW_Push,SW_Push_1P1T_XKB_TS-1187A,67.000000,-85.500000,0.000000,top
SW2,SW_Push,SW_Push_1P1T_XKB_TS-1187A,67.000000,-104.500000,0.000000,top
U2,ESP32-C3-WROOM-02,ESP32-C3-WROOM-02,49.700000,-94.860000,90.000000,top
U3,L7805,TO-263-2,95.675000,-103.960000,0.000000,top
U4,74LVC2G07,SOT-23-6,85.387500,-90.550000,0.000000,top
U5,74LVC2G07_3v3,SOT-23-6,76.887500,-90.550000,0.000000,top
U6,AP2205-3.3,SOT-89-3,76.525000,-107.000000,180.000000,top
