Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0805_2012Metric",25.370200,-4.078500,0.000000,top
"C2","1u","C_0805_2012Metric",64.000000,-4.000000,0.000000,top
"C3","100n","C_0805_2012Metric",21.399300,-4.285200,0.000000,top
"C4","100n","C_0805_2012Metric",21.012200,-30.699400,0.000000,top
"C5","100n","C_0805_2012Metric",18.144700,-26.474500,0.000000,top
"C6","100n","C_0805_2012Metric",74.791100,-1.505100,0.000000,top
"C7","100n","C_0805_2012Metric",68.654400,-1.530000,0.000000,top
"C9","10u 50V X7R","C_1206_3216Metric",44.000000,-35.500000,0.000000,top
"C10","100n 50V X7R","C_0603_1608Metric",44.000000,-38.500000,180.000000,top
"C11","10u","C_0805_2012Metric",36.366600,-24.489200,0.000000,top
"C12","100n","C_0805_2012Metric",25.001900,-30.966500,0.000000,top
"C13","10u","C_0805_2012Metric",55.154600,-2.766200,0.000000,top
"C14","100n","C_0805_2012Metric",64.391100,-1.608700,0.000000,top
"C15","100n 50V X8L","C_0603_1608Metric",38.000000,-39.000000,180.000000,top
"C16","22u 25V X7R","C_1210_3225Metric",24.500000,-36.000000,90.000000,top
"C17","22u 25V X7R","C_1210_3225Metric",19.500000,-36.000000,90.000000,top
"C18","100pF","C_0402_1005Metric",46.500000,-7.800000,0.000000,top
"C19","100pF","C_0402_1005Metric",46.500000,-31.000000,0.000000,top
"C20","1u 50V X7R","C_0805_2012Metric",62.000000,-13.500000,0.000000,top
"C21","1u 50V X7R","C_0805_2012Metric",62.000000,-23.000000,0.000000,top
"C22","22nF","C_0402_1005Metric",58.000000,-7.800000,0.000000,top
"C23","22nF","C_0402_1005Metric",58.000000,-31.000000,0.000000,top
"C24","100nF","C_0805_2012Metric",65.885500,-13.535300,0.000000,top
"C25","100nF","C_0805_2012Metric",66.000000,-23.000000,0.000000,top
"D1","BAV99","SOT-23",26.712700,-11.799900,0.000000,top
"D2","BAV99","SOT-23",31.029500,-19.819100,0.000000,top
"D3","BAV99","SOT-23",26.566600,-23.577100,0.000000,top
"D4","GRN","LED_0805_2012Metric",49.000000,-24.000000,0.000000,top
"D5","RED","LED_0805_2012Metric",82.500000,-1.500000,0.000000,top
"D6","YLW","LED_0805_2012Metric",80.000000,-36.500000,0.000000,top
"D9","BAV99","SOT-23",21.081300,-20.059700,0.000000,top
"D10","PMEG2010ER","Nexperia_CFP3_SOD-123W",21.670300,-23.653300,0.000000,top
"D11","PMEG2010ER","Nexperia_CFP3_SOD-123W",14.500000,-36.000000,0.000000,top
"D14","MBR0540-TP","D_SOD-123",65.500000,-11.000000,0.000000,top
"D15","MBR0540-TP","D_SOD-123",64.000000,-27.000000,0.000000,top
"D16","MBR0540-TP","D_SOD-123",53.873400,-5.303200,0.000000,top
"D17","MBR0540-TP","D_SOD-123",54.500000,-31.000000,0.000000,top
"F1","Polyfuse","Fuse_1812_4532Metric",45.000000,-27.000000,0.000000,top
"F2","Polyfuse","Fuse_1812_4532Metric",45.000000,-11.000000,0.000000,top
"F3","500mA","Fuse_1206_3216Metric",40.646400,-23.646400,0.000000,top
"J1","8P8C","RJ45_EVERCOM_5301-8P8C_Horizontal",13.970000,-12.555000,-90.000000,top
"J4","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A",72.000000,-36.325000,0.000000,top
"L1","4.7uH","L_Panasonic_PCC-M0530M",31.000000,-36.500000,180.000000,top
"Q3","CJ3407","SOT-23",52.000000,-11.000000,0.000000,top
"Q4","CJ3407","SOT-23",52.000000,-27.000000,0.000000,top
"Q5","MMBT3904","SOT-23",58.071300,-22.496200,0.000000,top
"R1","10K","R_0805_2012Metric",24.519200,-6.786100,0.000000,top
"R2","10K","R_0805_2012Metric",26.431800,-8.954100,0.000000,top
"R3","10K","R_0805_2012Metric",78.500000,-1.500000,0.000000,top
"R4","220","R_0805_2012Metric",45.000000,-23.500000,0.000000,top
"R5","10K","R_0805_2012Metric",11.633400,-7.510800,0.000000,top
"R6","220","R_0805_2012Metric",13.938200,-27.124800,0.000000,top
"R7","220","R_0805_2012Metric",19.079600,-1.830000,0.000000,top
"R10","1K","R_0805_2012Metric",39.794900,-21.252700,0.000000,top
"R11","1K","R_0805_2012Metric",43.915900,-21.261800,0.000000,top
"R12","1K","R_0805_2012Metric",15.383400,-7.648100,0.000000,top
"R13","1K","R_0805_2012Metric",41.500000,-2.500000,0.000000,top
"R14","10K","R_0805_2012Metric",65.000000,-29.500000,0.000000,top
"R15","10K","R_0805_2012Metric",41.500000,-7.500000,0.000000,top
"R16","10K","R_0805_2012Metric",49.000000,-21.500000,0.000000,top
"R17","10K","R_0805_2012Metric",83.000000,-32.500000,0.000000,top
"R18","220k","R_0805_2012Metric",47.250000,-14.250000,0.000000,top
"R19","10K","R_0805_2012Metric",43.500000,-15.250000,0.000000,top
"R20","10K","R_0805_2012Metric",41.500000,-5.000000,0.000000,top
