"Designator","Mid X","Mid Y","Rotation","Layer"
"C1","25.370200","-4.078500","0.000000","Top"
"C2","64.000000","-4.000000","0.000000","Top"
"C3","21.399300","-4.285200","0.000000","Top"
"C4","21.012200","-30.699400","0.000000","Top"
"C5","18.144700","-26.474500","0.000000","Top"
"C6","74.791100","-1.505100","0.000000","Top"
"C7","68.654400","-1.530000","0.000000","Top"
"C9","44.000000","-35.500000","0.000000","Top"
"C10","44.000000","-38.500000","180.000000","Top"
"C11","36.366600","-24.489200","0.000000","Top"
"C12","25.001900","-30.966500","0.000000","Top"
"C13","55.154600","-2.766200","0.000000","Top"
"C14","64.391100","-1.608700","0.000000","Top"
"C15","38.000000","-39.000000","180.000000","Top"
"C16","24.500000","-36.000000","90.000000","Top"
"C17","19.500000","-36.000000","90.000000","Top"
"C18","46.500000","-7.800000","0.000000","Top"
"C19","46.500000","-31.000000","0.000000","Top"
"C20","62.000000","-13.500000","0.000000","Top"
"C21","62.000000","-23.000000","0.000000","Top"
"C22","58.000000","-7.800000","0.000000","Top"
"C23","58.000000","-31.000000","0.000000","Top"
"C24","65.885500","-13.535300","0.000000","Top"
"C25","66.000000","-23.000000","0.000000","Top"
"D1","26.712700","-11.799900","0.000000","Top"
"D2","31.029500","-19.819100","0.000000","Top"
"D3","26.566600","-23.577100","0.000000","Top"
"D4","49.000000","-24.000000","0.000000","Top"
"D5","82.500000","-1.500000","0.000000","Top"
"D6","80.000000","-36.500000","0.000000","Top"
"D9","21.081300","-20.059700","0.000000","Top"
"D10","21.670300","-23.653300","0.000000","Top"
"D11","14.500000","-38.800000","0.000000","Top"
"D14","65.500000","-11.000000","0.000000","Top"
"D15","64.000000","-27.000000","0.000000","Top"
"D16","53.873400","-5.303200","0.000000","Top"
"D17","54.500000","-31.000000","0.000000","Top"
"D18","52.000000","-16.000000","-90.000000","Top"
"F1","45.000000","-27.000000","0.000000","Top"
"F2","45.000000","-11.000000","0.000000","Top"
"F3","40.646400","-23.646400","0.000000","Top"
"J1","13.970000","-12.555000","-90.000000","Top"
"J2","11.700000","-32.500000","0.000000","Top"
"J4","72.000000","-36.325000","0.000000","Top"
"L1","31.000000","-36.500000","180.000000","Top"
"Q3","52.000000","-11.000000","0.000000","Top"
"Q4","52.000000","-27.000000","0.000000","Top"
"Q5","58.071300","-22.496200","0.000000","Top"
"R1","24.519200","-6.786100","0.000000","Top"
"R2","26.431800","-8.954100","0.000000","Top"
"R3","78.500000","-1.500000","0.000000","Top"
"R4","45.000000","-23.500000","0.000000","Top"
"R5","11.633400","-7.510800","0.000000","Top"
"R6","13.938200","-27.124800","0.000000","Top"
"R7","19.079600","-1.830000","0.000000","Top"
"R10","39.794900","-21.252700","0.000000","Top"
"R11","43.915900","-21.261800","0.000000","Top"
"R12","15.383400","-7.648100","0.000000","Top"
"R13","41.500000","-2.500000","0.000000","Top"
"R14","65.000000","-29.500000","0.000000","Top"
"R15","41.500000","-7.500000","0.000000","Top"
"R16","49.000000","-21.500000","0.000000","Top"
"R17","83.000000","-32.500000","0.000000","Top"
"R18","47.250000","-14.250000","0.000000","Top"
"R19","43.500000","-15.250000","0.000000","Top"
"R20","41.500000","-5.000000","0.000000","Top"
"R21","79.000000","-32.500000","0.000000","Top"
"R22","39.750000","-15.250000","0.000000","Top"
"R23","9.502600","-27.249600","0.000000","Top"
"R24","86.500000","-1.500000","0.000000","Top"
"R25","66.500000","-20.750000","0.000000","Top"
"R26","64.500000","-35.500000","0.000000","Top"
"R27","64.500000","-38.500000","0.000000","Top"
"R28","72.500000","-27.800000","0.000000","Top"
"R29","72.500000","-29.500000","0.000000","Top"
"R31","53.000000","-7.800000","0.000000","Top"
"R32","50.000000","-31.000000","0.000000","Top"
"R33","62.000000","-7.800000","0.000000","Top"
"R34","61.029100","-31.239300","0.000000","Top"
"R35","58.250000","-14.500000","0.000000","Top"
"R36","62.000000","-20.750000","0.000000","Top"
"R37","54.127200","-23.577700","0.000000","Top"
"R38","38.000000","-27.000000","180.000000","Top"
"SW1","5.000000","-3.400000","0.000000","Top"
"SW2","13.000000","-3.400000","0.000000","Top"
"U2","81.600000","-17.000000","-90.000000","Top"
"U4","29.000000","-16.000000","0.000000","Top"
"U5","22.296900","-12.380700","0.000000","Top"
"U6","60.000000","-4.000000","0.000000","Top"
"U7","68.900000","-29.000000","0.000000","Top"
"U8","39.000000","-36.000000","180.000000","Top"
"U9","59.000000","-11.000000","0.000000","Top"
"U10","59.000000","-27.000000","0.000000","Top"
